,layer_num,embed_dim,num_heads,mlp_ratio,max_OA,OA,AA,Kappa,retrain_time,num_params_subnet,flops
0,9,"[176, 176, 176, 176, 176, 176, 176, 176, 176]","[3, 6, 3, 6, 5, 4, 6, 3, 6]","[4, 3, 1, 5, 2, 4, 2, 4, 5]",88.8706,0.8871,0.8839,0.8491,0:07:53,3063596,152716914
0,4,"[80, 80, 80, 80]","[6, 6, 5, 4]","[3, 5, 4, 5]",88.5331,0.8853,0.8735,0.8459,0:05:58,359757,17129672
0,8,"[96, 96, 96, 96, 96, 96, 96, 96]","[6, 6, 6, 3, 5, 6, 4, 3]","[3, 2, 3, 5, 2, 4, 1, 1]",86.7432,0.8385,0.8827,0.7908,0:07:23,734694,37075486
0,5,"[160, 160, 160, 160, 160]","[4, 4, 3, 3, 6]","[3, 1, 2, 6, 1]",88.7831,0.8854,0.8711,0.8457,0:06:18,1256631,61316948
0,9,"[144, 144, 144, 144, 144, 144, 144, 144, 144]","[3, 3, 4, 4, 6, 5, 5, 4, 3]","[5, 4, 6, 6, 1, 4, 5, 3, 3]",89.6243,0.8871,0.8887,0.8501,0:07:48,2359569,117717152
0,6,"[96, 96, 96, 96, 96, 96]","[6, 4, 5, 6, 4, 4]","[5, 3, 1, 1, 3, 5]",86.6557,0.8307,0.8733,0.7798,0:06:38,603654,29831326
0,5,"[160, 160, 160, 160, 160]","[6, 4, 3, 6, 5]","[6, 4, 6, 3, 3]",87.4619,0.8720,0.8673,0.8286,0:06:26,1716942,83787662
0,10,"[240, 240, 240, 240, 240, 240, 240, 240, 240, 240]","[6, 5, 3, 6, 5, 3, 6, 4, 5, 4]","[4, 2, 6, 6, 3, 6, 3, 4, 3, 3]",90.1605,0.8975,0.8860,0.8632,0:08:16,7053609,350197680
0,5,"[192, 192, 192, 192, 192]","[6, 6, 6, 6, 4]","[3, 4, 2, 1, 6]",88.9981,0.8887,0.8695,0.8498,0:06:20,2016969,98527296
0,7,"[32, 32, 32, 32, 32, 32, 32]","[3, 3, 6, 5, 6, 4, 6]","[5, 3, 4, 2, 3, 5, 6]",84.2308,0.8306,0.8652,0.7782,0:07:00,102085,5155528
0,8,"[160, 160, 160, 160, 160, 160, 160, 160]","[3, 4, 5, 3, 4, 3, 3, 6]","[1, 4, 1, 3, 2, 6, 3, 2]",85.2457,0.8229,0.8791,0.7727,0:07:26,2029105,101181584
0,4,"[32, 32, 32, 32]","[4, 3, 6, 4]","[2, 1, 5, 5]",77.8761,0.7788,0.7926,0.7030,0:05:56,58781,2675736
0,8,"[32, 32, 32, 32, 32, 32, 32, 32]","[6, 6, 3, 6, 4, 6, 3, 5]","[5, 4, 1, 5, 2, 2, 2, 4]",82.8209,0.8283,0.8336,0.7670,0:07:22,99967,5186692
0,8,"[128, 128, 128, 128, 128, 128, 128, 128]","[3, 5, 3, 3, 5, 3, 4, 4]","[3, 6, 3, 3, 6, 4, 6, 2]",89.2293,0.8865,0.8919,0.8499,0:07:28,1670751,83166692
0,5,"[144, 144, 144, 144, 144]","[3, 3, 6, 3, 6]","[5, 6, 3, 2, 4]",90.0142,0.8945,0.8800,0.8587,0:06:19,1319769,64412208
0,5,"[144, 144, 144, 144, 144]","[5, 6, 3, 5, 4]","[4, 5, 3, 2, 4]",90.0955,0.9010,0.8912,0.8683,0:06:21,1231905,60083744
0,5,"[80, 80, 80, 80, 80]","[3, 6, 6, 4, 6]","[3, 4, 4, 1, 4]",86.3407,0.8428,0.8794,0.7929,0:06:19,371905,18059104
0,6,"[160, 160, 160, 160, 160, 160]","[5, 6, 4, 3, 4, 5]","[4, 4, 2, 2, 4, 3]",86.0907,0.8428,0.8829,0.7956,0:06:41,1669274,82191830
0,9,"[112, 112, 112, 112, 112, 112, 112, 112, 112]","[6, 6, 4, 6, 6, 4, 4, 6, 3]","[6, 1, 1, 2, 3, 1, 3, 5, 2]",84.8101,0.8475,0.8781,0.8004,0:07:47,1107514,55902630
0,10,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]","[6, 4, 6, 4, 6, 3, 4, 6, 5, 4]","[6, 5, 2, 6, 3, 2, 5, 5, 6, 5]",82.2484,0.8225,0.8385,0.7607,0:08:05,150597,7924616
0,4,"[192, 192, 192, 192]","[4, 3, 6, 5]","[1, 2, 2, 4]",87.4806,0.8748,0.8649,0.8323,0:05:58,1348803,65006396
